month,day,hour,weekday,ride_count,weekday_num
5,5,21,Monday,1018,0
5,5,22,Monday,706,0
5,5,23,Monday,401,0
5,6,0,Tuesday,203,1
5,6,1,Tuesday,130,1
5,6,2,Tuesday,97,1
5,6,3,Tuesday,112,1
5,6,4,Tuesday,205,1
5,6,5,Tuesday,406,1
5,6,6,Tuesday,839,1
5,6,7,Tuesday,1065,1
5,6,8,Tuesday,958,1
5,6,9,Tuesday,640,1
5,6,10,Tuesday,645,1
5,6,11,Tuesday,603,1
5,6,12,Tuesday,702,1
5,6,13,Tuesday,757,1
5,6,14,Tuesday,1016,1
5,6,15,Tuesday,1347,1
5,6,16,Tuesday,1605,1
5,6,17,Tuesday,1746,1
5,6,18,Tuesday,1307,1
5,6,19,Tuesday,1188,1
5,6,20,Tuesday,1291,1
5,6,21,Tuesday,1224,1
5,6,22,Tuesday,756,1
5,6,23,Tuesday,458,1
5,7,0,Wednesday,201,2
5,7,1,Wednesday,109,2
5,7,2,Wednesday,71,2
5,7,3,Wednesday,137,2
5,7,4,Wednesday,205,2
5,7,5,Wednesday,341,2
5,7,6,Wednesday,888,2
5,7,7,Wednesday,1151,2
5,7,8,Wednesday,971,2
5,7,9,Wednesday,695,2
5,7,10,Wednesday,733,2
5,7,11,Wednesday,689,2
5,7,12,Wednesday,726,2
5,7,13,Wednesday,971,2
5,7,14,Wednesday,1186,2
5,7,15,Wednesday,1494,2
5,7,16,Wednesday,1843,2
5,7,17,Wednesday,1878,2
5,7,18,Wednesday,1683,2
5,7,19,Wednesday,1413,2
5,7,20,Wednesday,1482,2
5,7,21,Wednesday,1474,2
5,7,22,Wednesday,1010,2
5,7,23,Wednesday,540,2
5,8,0,Thursday,275,3
5,8,1,Thursday,174,3
5,8,2,Thursday,128,3
5,8,3,Thursday,162,3
5,8,4,Thursday,286,3
5,8,5,Thursday,597,3
5,8,6,Thursday,1285,3
5,8,7,Thursday,1627,3
5,8,8,Thursday,1672,3
5,8,9,Thursday,1291,3
5,8,10,Thursday,1018,3
5,8,11,Thursday,951,3
5,8,12,Thursday,902,3
